round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
303	2026-03-30T13:09:53.613555	20	42	27	100	0.0
304	2026-03-30T13:09:53.702849	20	118	82	100	0.1
305	2026-03-30T13:09:53.847056	20	137	50	100	0.1
306	2026-03-30T13:09:53.942450	20	56	28	100	0.1
307	2026-03-30T13:09:54.022297	20	60	44	100	0.0
308	2026-03-30T13:09:54.096492	20	155	101	100	0.0
309	2026-03-30T13:09:54.232777	20	239	130	100	0.1
310	2026-03-30T13:09:54.388600	20	167	154	100	0.1
311	2026-03-30T13:09:54.450300	20	195	92	100	0.0
312	2026-03-30T13:09:54.578817	20	109	91	100	0.1
313	2026-03-30T13:09:54.705294	20	113	91	100	0.1
314	2026-03-30T13:09:54.769109	20	177	65	100	0.0
315	2026-03-30T13:09:54.883840	20	168	146	100	0.1
316	2026-03-30T13:09:54.953219	20	88	40	100	0.0
317	2026-03-30T13:09:55.078433	20	226	205	100	0.1
318	2026-03-30T13:09:55.135967	20	86	50	100	0.0
319	2026-03-30T13:09:55.416907	20	264	207	100	0.3
320	2026-03-30T13:09:55.441126	20	123	28	100	0.0
321	2026-03-30T13:09:55.461002	20	63	34	100	0.0
322	2026-03-30T13:09:55.479407	20	15	11	100	0.0
323	2026-03-30T13:09:55.634697	20	267	208	100	0.1
324	2026-03-30T13:09:55.677278	20	127	86	100	0.0
325	2026-03-30T13:09:55.834582	20	173	142	100	0.1
326	2026-03-30T13:09:55.918552	20	222	145	100	0.1
327	2026-03-30T13:09:55.974392	20	135	105	100	0.0
328	2026-03-30T13:09:56.006156	20	81	72	100	0.0
329	2026-03-30T13:09:56.117641	20	224	201	100	0.1
330	2026-03-30T13:09:56.174876	20	140	101	100	0.0
331	2026-03-30T13:09:56.218404	20	98	82	100	0.0
332	2026-03-30T13:09:56.361807	20	271	159	100	0.1
333	2026-03-30T13:09:56.439671	20	73	54	100	0.1
334	2026-03-30T13:09:56.493445	20	143	103	100	0.0
335	2026-03-30T13:09:56.547844	20	140	114	100	0.0
336	2026-03-30T13:09:56.620010	20	112	90	100	0.1
337	2026-03-30T13:09:56.641106	20	57	26	100	0.0
338	2026-03-30T13:09:56.663744	20	85	48	100	0.0
339	2026-03-30T13:09:56.737991	20	74	49	100	0.0
340	2026-03-30T13:09:56.898635	20	211	182	100	0.1
341	2026-03-30T13:09:56.965968	20	73	41	100	0.1
342	2026-03-30T13:09:57.019203	20	138	112	100	0.0
343	2026-03-30T13:09:57.044208	20	56	37	100	0.0
344	2026-03-30T13:09:57.111040	20	251	193	100	0.1
345	2026-03-30T13:09:57.132690	20	56	27	100	0.0
346	2026-03-30T13:09:57.156549	20	72	29	100	0.0
347	2026-03-30T13:09:57.298205	20	234	194	100	0.1
348	2026-03-30T13:09:57.323768	20	184	91	100	0.0
349	2026-03-30T13:09:57.358396	20	71	25	100	0.0
350	2026-03-30T13:09:57.394645	20	164	120	100	0.0
351	2026-03-30T13:09:57.455417	20	153	143	100	0.0
352	2026-03-30T13:09:57.476732	20	99	23	100	0.0
353	2026-03-30T13:09:57.537544	20	110	90	100	0.0
354	2026-03-30T13:09:57.700540	20	196	158	100	0.1
355	2026-03-30T13:09:57.764399	20	86	53	100	0.0
356	2026-03-30T13:09:57.963652	20	150	129	100	0.2
357	2026-03-30T13:09:58.041443	20	42	30	100	0.0
358	2026-03-30T13:09:58.122358	20	156	38	100	0.0
359	2026-03-30T13:09:58.355841	20	167	147	100	0.2
360	2026-03-30T13:09:58.427888	20	192	79	100	0.0
361	2026-03-30T13:09:58.510853	20	95	78	100	0.1
362	2026-03-30T13:09:58.681252	20	219	150	100	0.2
363	2026-03-30T13:09:58.712034	20	45	28	100	0.0
364	2026-03-30T13:09:58.734244	20	57	44	100	0.0
365	2026-03-30T13:09:58.769736	20	186	90	100	0.0
366	2026-03-30T13:09:58.830845	20	74	54	100	0.0
367	2026-03-30T13:09:58.921821	20	88	60	100	0.1
