verseId,root,count,positions,forms
2:42,لبس,1,[2],"[""تَلْبِسُ""]"
2:42,حقق,2,"[3, 6]","[""حَقَّ""]"
2:42,بطل,1,[4],"[""بَٰطِلِ""]"
2:42,كتم,1,[5],"[""تَكْتُمُ""]"
2:43,صلو,1,[2],"[""صَّلَوٰةَ""]"
2:43,أتي,1,[3],"[""ءَاتُ""]"
2:43,زكو,1,[4],"[""زَّكَوٰةَ""]"
2:43,ركع,2,"[5, 7]","[""رَّٰكِعِينَ"", ""ٱرْكَعُ""]"
2:44,أمر,1,[1],"[""تَأْمُرُ""]"
2:44,أنس,1,[2],"[""نَّاسَ""]"
2:44,برر,1,[3],"[""بِرِّ""]"
2:44,نسي,1,[4],"[""تَنسَ""]"
2:44,نفس,1,[5],"[""أَنفُسَ""]"
2:44,تلو,1,[7],"[""تَتْلُ""]"
2:44,كتب,1,[8],"[""كِتَٰبَ""]"
2:44,عقل,1,[10],"[""تَعْقِلُ""]"
2:45,عون,1,[1],"[""ٱسْتَعِينُ""]"
2:45,صبر,1,[2],"[""صَّبْرِ""]"
2:45,صلو,1,[3],"[""صَّلَوٰةِ""]"
2:45,كبر,1,[5],"[""كَبِيرَةٌ""]"
2:45,خشع,1,[8],"[""خَٰشِعِينَ""]"
2:46,ظنن,1,[2],"[""يَظُنُّ""]"
2:46,لقي,1,[4],"[""مُّلَٰقُوا۟""]"
2:46,رجع,1,[8],"[""رَٰجِعُونَ""]"
2:47,بني,1,[1],"[""بَنِىٓ""]"
2:47,ذكر,1,[3],"[""ٱذْكُرُ""]"
2:47,نعم,2,"[4, 6]","[""أَنْعَمْ"", ""نِعْمَتِ""]"
2:47,فضل,1,[9],"[""فَضَّلْ""]"
2:48,وقي,1,[1],"[""ٱتَّقُ""]"
2:48,يوم,1,[2],"[""يَوْمًا""]"
2:48,جزي,1,[4],"[""تَجْزِى""]"
2:48,نفس,2,"[5, 7]","[""نَفْسٌ"", ""نَّفْسٍ""]"
2:48,شيأ,1,[8],"[""شَيْـًٔا""]"
2:48,قبل,1,[10],"[""يُقْبَلُ""]"
2:48,شفع,1,[12],"[""شَفَٰعَةٌ""]"
2:48,أخذ,1,[14],"[""يُؤْخَذُ""]"
2:48,عدل,1,[16],"[""عَدْلٌ""]"
2:48,نصر,1,[19],"[""يُنصَرُ""]"
2:49,نجو,1,[2],"[""نَجَّيْ""]"
2:49,أول,1,[4],"[""ءَالِ""]"
2:49,سوم,1,[6],"[""يَسُومُ""]"
2:49,سوأ,1,[7],"[""سُوٓءَ""]"
2:49,عذب,1,[8],"[""عَذَابِ""]"
2:49,ذبح,1,[9],"[""يُذَبِّحُ""]"
2:49,بني,1,[10],"[""أَبْنَآءَ""]"
2:49,حيي,1,[11],"[""يَسْتَحْيُ""]"
2:49,نسو,1,[12],"[""نِسَآءَ""]"
2:49,بلو,1,[15],"[""بَلَآءٌ""]"
2:49,عظم,1,[18],"[""عَظِيمٌ""]"
2:50,فرق,1,[2],"[""فَرَقْ""]"
2:50,بحر,1,[4],"[""بَحْرَ""]"
2:50,نجو,1,[5],"[""أَنجَيْ""]"
2:50,غرق,1,[6],"[""أَغْرَقْ""]"
2:50,أول,1,[7],"[""ءَالَ""]"
2:50,نظر,1,[10],"[""تَنظُرُ""]"
2:51,وعد,1,[2],"[""وَٰعَدْ""]"
2:51,ربع,1,[4],"[""أَرْبَعِينَ""]"
2:51,ليل,1,[5],"[""لَيْلَةً""]"
2:51,أخذ,1,[7],"[""ٱتَّخَذْ""]"
2:51,عجل,1,[8],"[""عِجْلَ""]"
2:51,بعد,1,[10],"[""بَعْدِ""]"
2:51,ظلم,1,[12],"[""ظَٰلِمُونَ""]"
2:52,عفو,1,[2],"[""عَفَوْ""]"
2:52,بعد,1,[5],"[""بَعْدِ""]"
2:52,شكر,1,[8],"[""تَشْكُرُ""]"
2:53,أتي,1,[2],"[""ءَاتَيْ""]"
2:53,كتب,1,[4],"[""كِتَٰبَ""]"
2:53,فرق,1,[5],"[""فُرْقَانَ""]"
2:53,هدي,1,[7],"[""تَهْتَدُ""]"
2:54,ظلم,1,[7],"[""ظَلَمْ""]"
